2026년 연간 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연번,광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,,,,,개최기간,,,,,,,,개최 주기,"최초
개최연도",예산(백만원),,,,"국비지원
부처명",방문객수(前년),,,,,축제 주최 전담조직,,,담당자,,,,,비고
,,,,,장소명,축제 유형,,,,시작일,,,종료일,,,"총
일수",비고,,,합계,국비,지방비,"기타
(민간 등)",,전체,내국인(명),외국인(명),계측 방법,비고,전담조직명,조직형태,설립근거,소속,부서명,직급/직책,성명,연락처,비고
,,,,,장소명,축제 유형,시도,시군구,읍면동,년,월,일,년,월,일,,,,,,,,,,,,,,,,,,,,,,,
60,01. 서울,종로구,2026 종로K축제,01. 문화예술,광화문광장,02. 녹지형,01. 서울,종로구,-,2026,9,11,2026,9,12,2,,01. 매년,2016,70,0,70,0,해당없음,"208,141","208,141",0,02. 추정,통신 데이터,종로문화재단,02. 재단(관광/문화/예술),서울특별시 종로구 재단법인 종로문화재단 설립 및 운영 조례 ,종로구청,문화과,주무관,주재형,02-2148-1807,
61,01. 서울,강서구,제24회 허준축제,01. 문화예술,"서울식물원, 마곡광장, 마곡중앙로",02. 녹지형,01. 서울,강서구,-,2026,10,10,2026,10,11,2,,01. 매년,1999,498,0,498,0,해당없음,"180,000","150,000","30,000",99. 무응답,기타,강서문화원,02. 재단(관광/문화/예술),지방문화원진흥법 제4조,강서구청,문화예술과,행정7급,양동혁,02-2600-6455,
62,01. 서울,동대문구,동대문구 봄꽃축제,03. 주민화합,"장안1 수변공원, 장안벚꽃길 일대",02. 녹지형,01. 서울,동대문구,장안동,2026,4,4,2026,4,5,2,,01. 매년,2008,230,0,230,0,해당없음,"59,492","59,492",0,02. 추정,통신 데이터,동대문구청 문화관광과,01. 정부/지자체,서울특별시 동대문구 문화체육행사 및 교실운영에 관한 조례,동대문구청,문화관광과,주무관,오지은,02-2127-4711,
63,01. 서울,동대문구,동대문구 맥주축제,03. 주민화합,장안1 수변공원 일대,02. 녹지형,01. 서울,동대문구,장안동,2026,8,28,2026,8,29,2,,01. 매년,2024,240,0,240,0,해당없음,"20,358","20,358",0,01. 계측,유인,동대문문화재단,02. 재단(관광/문화/예술),서울특별시 동대문문화재단 설립 및 운영에 관한 조례,동대문구청,문화관광과,주무관,유지은,02-2127-4158,
64,01. 서울,동대문구,동대문페스티벌,01. 문화예술,장한로 일대,01. 마을형,01. 서울,동대문구,장안동,2026,10,,2026,10,,,미정,01. 매년,2024,450,0,450,0,해당없음,"110,000","110,000",0,02. 추정,통신 데이터,동대문문화재단,02. 재단(관광/문화/예술),서울특별시 동대문문화재단 설립 및 운영에 관한 조례,동대문구청,문화관광과,주무관,오지은,02-2127-4711,
65,01. 서울,중구,2026 정동야행,01. 문화예술,정동 일대,05. 기타,01. 서울,중구,-,2026,10,,2026,10,,3,미정,01. 매년,2015,365,146,219,0,국가유산청,"136,513","133,912","2,601",99. 무응답,기타,중구청,01. 정부/지자체,,중구청,문화정책과,주무관,한아름,02-3396-4622,
66,01. 서울,강남구,제7회 가로수길 디자인위크,01. 문화예술,가로수길 일대,05. 기타,01. 서울,강남구,-,2026,6,13,2026,6,17,5,,01. 매년,2020,285,0,285,0,해당없음,"33,655","33,655",모름,02. 추정,통신 데이터,서울 강남구,01. 정부/지자체,해당없음,강남구,관광진흥과,주무관,이남윤,02-3423-5532,
67,01. 서울,강남구,제15회 강남페스티벌,01. 문화예술,"코엑스, 영동대로 등 강남구 일대",03. 수변형,01. 서울,강남구,-,2026,10,1,2026,10,4,4,,01. 매년,2012,"2,965",0,"2,965",0,해당없음,"916,594","797,437","119,157",02. 추정,통신 데이터,서울 강남구,01. 정부/지자체,해당없음,강남구,관광진흥과,주무관,송정현,02-3423-5534,
68,01. 서울,동작구,제9회 도심 속 바다축제,01. 문화예술,노량진수산시장 및 노량진축구장일대,02. 녹지형,01. 서울,동작구,노량진동,2026,10,24,2026,10,25,2,,01. 매년,2012,300,0,300,0,해당없음,"40,000","40,000",0,01. 계측,티켓판매,동작구청,01. 정부/지자체,,동작구청,문화정책과,주무관,김애란,02-820-9401,
69,02. 부산,-,제30회 부산바다축제,01. 문화예술,다대포해수욕장,03. 수변형,02. 부산,사하구,-,2026,8,7,2026,8,9,3,,01. 매년,1996,"1,260",0,"1,200",60,해당없음,"82,435","82,435",모름,01. 계측,유인,(사)부산축제조직위원회,04. 지자체 위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,부산광역시청,관광정책과,주무관,최정윤,051-888-5224,
70,02. 부산,-,2026 부산국제록페스티벌,01. 문화예술,삼락생태공원,02. 녹지형,02. 부산,사상구,-,2026,10,2,2026,10,4,3,,01. 매년,2000,"9,040",40,730,"8,270",문화체육관광부,"70,000","67,200","2,800",01. 계측,티켓판매,(사)부산축제조직위원회,04. 지자체 위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,부산광역시청,관광정책과,주무관,권이슬,051-888-5221,
71,02. 부산,-,제11회 부산원도심활성화축제,01. 문화예술,원도심 일원,05. 기타,02. 부산,"중구, 동구, 서구, 영도구",-,2026,5,22,2026,5,24,3,,01. 매년,2016,172,0,150,22,해당없음,"14,240","14,240",모름,01. 계측,유인,(사)부산축제조직위원회,04. 지자체 위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,부산광역시청,관광정책과,주무관,권이슬,051-888-5221,
72,02. 부산,-,2026 부산밀페스티벌,01. 문화예술,화명생태공원,02. 녹지형,02. 부산,북구,-,2026,4,25,2026,4,26,2,,01. 매년,2024,500,0,400,100,해당없음,"33,000","33,000",모름,01. 계측,유인,(사)부산축제조직위원회,04. 지자체 위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,부산광역시청,관광정책과,주무관,김태우,051-888-5222,
73,02. 부산,-,부산 시민의종 타종행사,01. 문화예술,용두산공원,02. 녹지형,02. 부산,중구,-,2026,12,31,2027,1,1,2,,01. 매년,2000,73,0,73,0,해당없음,"8,000","8,000",모름,01. 계측,유인,(사)부산축제조직위원회,04. 지자체 위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,부산광역시청,관광정책과,주무관,최정윤,051-888-5224,
74,02. 부산,-,제19회 부산항축제,03. 주민화합,북항 및 해양박물관 등,03. 수변형,02. 부산,"동구, 영도구",-,2026,6,20,2026,6,21,2,,01. 매년,2008,900,0,600,300,해당없음,"85,000","80,600","4,400",01. 계측,유인,(사)부산축제조직위원회,04. 지자체 위원회,부산광역시 축제의 육성 및 지원에 관한 조례 ,부산광역시청,관광정책과,주무관,이태훈,051-888-5291,
75,02. 부산,-,2026년 조선통신사 축제,04. 전통역사,미정(협의중),06. 미정,02. 부산,-,-,2026,4,24,2026,4,26,3,,01. 매년,2003,320,0,320,0,해당없음,"40,000","30,000","10,000",99. 무응답,기타,(재)부산문화재단,02. 재단(관광/문화/예술),부산문화재단 설립 및 운영 지원 조례,부산광역시청,문화유산과,주무관,김종성,051-888-5096,
76,02. 부산,-,2026 제11회 피란수도 부산 국가유산 야행,04. 전통역사,영도다리 등 피란유산 전역,02. 녹지형,02. 부산,중구,-,2026,8,14,2026,8,15,2,,01. 매년,2016,583,233,350,0,국가유산청,"40,000","40,000",모름,99. 무응답,기타,부산광역시,01. 정부/지자체,,부산광역시청,문화유산과,주무관,김지은,051-888-5092,
77,02. 부산,-,2026 부산종합민속예술제,04. 전통역사,부산시민공원 다솜광장,02. 녹지형,02. 부산,부산진구,-,2026,10,24,2026,10,25,2,,01. 매년,2021,280,0,280,0,해당없음,"30,000","30,000",모름,99. 무응답,기타,부산광역시,01. 정부/지자체,,부산광역시청,문화유산과,주무관,김윤정,051-888-5062,
78,02. 부산,-,제25회 부산과학축전,02. 자연생태,벡스코,04. 독립형,02. 부산,해운대구,우동,2026,4,11,2026,4,12,2,,01. 매년,2002,295,130,150,15,과학기술정보통신부,"70,000","70,000",모름,99. 무응답,기타,(사)부산과학기술협의회,05. 민간 협/단체,"민법 제32조, 과기정통부 소관 비영리법인의 설립 및 감독에 관한 규칙",부산광역시청,연구개발과,주무관,채은솔,051-888-7724,
79,02. 부산,-,2026년 부산 가든쇼,01. 문화예술,삼락생태공원,02. 녹지형,02. 부산,사상구,삼락동,2026,10,22,2026,10,25,4,,01. 매년,2025,"1,000",500,500,0,산림청,"10,000","10,000",모름,01. 계측,유인,해당없음,01. 정부/지자체,,부산광역시청,공원도시과,주무관,전성민,051-888-5371,
80,02. 부산,중구,2026년 광복로 연등문화제,01. 문화예술,광복로 일원,01. 마을형,02. 부산,중구,광복동,2026,4,,2026,5,,,미정,01. 매년,2014,63,0,50,13,해당없음,"1,500","1,500",모름,99. 무응답,기타,(사)부산시중구불교연합회,05. 민간 협/단체,부산광역시 중구 축제의 지원 및 운영에 관한 조례,부산광역시 중구청,문화관광과,주무관,이지영,051-600-4065,
81,02. 부산,중구,유라리건맥축제,05. 지역특산물,유라리광장 일원,02. 녹지형,02. 부산,중구,남포동,2026,9,,2026,9,,2,미정,01. 매년,2023,93,0,93,0,해당없음,"12,516","12,516",모름,02. 추정,시간대별 무작위 10분 방문객수*6,부산광역시 중구,01. 정부/지자체,부산광역시 중구 축제의 지원 및 운영에 관한 조례,부산광역시 중구청,문화관광과,주무관,정미지,051-600-4085,
82,02. 부산,중구,제33회 부산자갈치축제,05. 지역특산물,자갈치시장 일원,01. 마을형,02. 부산,중구,남포동,2026,10,15,2026,10,18,4,,01. 매년,1992,340,0,310,30,해당없음,"195,846","195,846",모름,02. 추정,시간대별 무작위 10분 방문객수*6,(사)부산자갈치문화관광축제위원회,04. 지자체 위원회,부산광역시 중구 축제의 지원 및 운영에 관한 조례,부산광역시 중구청,문화관광과,주무관,길나혜,051-600-4081,
83,02. 부산,중구,광복로 겨울빛 트리축제,01. 문화예술,광복로 일원,05. 기타,02. 부산,중구,광복동,2026,12,,2027,2,,73,미정,01. 매년,2009,950,0,950,0,해당없음,"3,105,529","3,105,529",모름,02. 추정,(시간대별 무작위 10분 방문객수*6)*운영시간*일수*주요 지점 수,부산광역시 중구,01. 정부/지자체,부산광역시 중구 축제의 지원 및 운영에 관한 조례,부산광역시 중구청,문화관광과,주무관,정미지,051-600-4085,
84,02. 부산,서구,제17회 부산고등어축제,05. 지역특산물,송도해수욕장,03. 수변형,02. 부산,서구,암남동,2026,10,,2026,10,,3,미정,01. 매년,2008,209,0,170,39,해당없음,"253,131","253,131",모름,01. 계측,유인,부산서구문화원,02. 재단(관광/문화/예술),부산광역시 서구 문화원 지원 및 육성에 관한 조례,부산광역시 서구청,문화관광과,주무관,서안미,051-240-4062,
85,02. 부산,서구,부산 서구 의료관광축제,01. 문화예술,송도오션파크,03. 수변형,02. 부산,서구,암남동,2026,11,,2026,11,,2,미정,01. 매년,2022,150,0,150,0,해당없음,"18,000","18,000",모름,01. 계측,유인,부산광역시 서구,01. 정부/지자체,부산광역시 서구 의료관광 활성화에 관한 조례,부산광역시 서구청,기획감사실,주무관,이선희,051-240-4017,
86,02. 부산,동구,제2회 북항 해양레저 페스타,02. 자연생태,북항 경관수로 및 친수공원 일원,02. 녹지형,02. 부산,동구,초량동,2026,7,31,2026,8,2,3,,01. 매년,2025,미확정,0,미확정,0,해당없음,"1,000","1,000",모름,99. 무응답,기타,부산광역시 동구,01. 정부/지자체,부산광역시 동구 관광진흥 조례 / 부산광역시 동구 해양레저 육성 및 해양관광 진흥 조례,부산광역시 동구청,문화관광과,주무관,백지수,051-440-4812,
87,02. 부산,동구,제23회 부산차이나타운 문화축제,01. 문화예술,"부산역, 초량 차이나타운 일원",05. 기타,02. 부산,동구,초량동,2026,10,16,2026,10,18,3,,01. 매년,2004,255,0,225,30,해당없음,"40,000","30,000","10,000",99. 무응답,기타,차이나타운축제추진위원회,04. 지자체 위원회,부산광역시 동구 축제운영에 관한 조례,부산광역시 동구청,문화관광과,주무관,전성환,051-440-4062,
88,02. 부산,동구,제4회 웹툰이바구길축제,01. 문화예술,"웹툰이바구길 일원, 동구 문화플랫폼 등",02. 녹지형,02. 부산,동구,범일동 등,2026,10,24,2026,10,31,8,,01. 매년,2023,미확정,0,미확정,0,해당없음,"2,000","2,000",모름,99. 무응답,기타,부산광역시 동구,01. 정부/지자체,부산광역시 동구 관광진흥 조례,부산광역시 동구청,문화관광과,주무관,김명준,051-440-4814,
89,02. 부산,영도구,제34회 영도다리축제,01. 문화예술,아미르공원 일원,02. 녹지형,02. 부산,영도구,동삼동,2026,10,30,2026,11,1,3,,01. 매년,1993,271,0,245,26,해당없음,"140,000","140,000",모름,99. 무응답,기타,부산광역시 영도구/영도문화원,01. 정부/지자체,부산광역시 영도구 영도문화원 지원 조례,부산광역시 영도구청,문화관광과,주무관,조경주,051-419-4062,
90,02. 부산,영도구,2026 글로벌 영도커피페스티벌,01. 문화예술,아미르공원 일원,02. 녹지형,02. 부산,영도구,동삼동,2026,5,15,2026,5,17,3,,01. 매년,2019,280,0,280,0,해당없음,"120,000","120,000",모름,99. 무응답,기타,부산광역시 영도구,01. 정부/지자체,-,부산광역시 영도구청,경제산업과,주무관,이지영,051-419-4475,
91,02. 부산,영도구,제15회 수국꽃 문화축제,02. 자연생태,태종대 일원,03. 수변형,02. 부산,영도구,동삼동,2026,6,27,2026,7,5,9,,01. 매년,2006,50,0,20,30,해당없음,"34,750","34,750",모름,01. 계측,무인,부산광역시 영도구/대한불교조계종 태종사/부산시설공단,01. 정부/지자체,-,부산광역시 영도구청,문화관광과,주무관,조준원,051-419-4065,
92,02. 부산,부산진구,서면 빛 축제,01. 문화예술,서면1번가 일원,01. 마을형,02. 부산,부산진구,부전동,2026,10,,2027,1,,,미정,01. 매년,2020,600,0,600,0,해당없음,미집계,미집계,미집계,03. 미집계,공공와이파이,부산광역시 부산진구,01. 정부/지자체,부산광역시 부산진구 축제 육성 및 지원에 관한 조례,부산광역시 부산진구청,경제관광과,주무관,정재훈,051-605-4524,
93,02. 부산,부산진구,전포커피축제,01. 문화예술,전포카페거리 일원,01. 마을형,02. 부산,부산진구,전포동,2026,10,,2026,10,,2,미정,01. 매년,2017,80,0,80,0,해당없음,"76,200","76,200",0,02. 추정,공공와이파이,"부산진구/ 전포카페거리,전포공구길, 전포사잇길 상인회",01. 정부/지자체,부산광역시 부산진구 축제 육성 및 지원에 관한 조례,부산광역시 부산진구청,경제관광과,주무관,지은미,051-605-4522,방문자 수 재작년
94,02. 부산,부산진구,서면메디컬스트리트축제,01. 문화예술,서면메디컬스트리트 일원,04. 독립형,02. 부산,부산진구,부전동,2026,10,,2026,10,,2,미정,01. 매년,2011,102,0,75,27,해당없음,"5,000","5,000",모름,02. 추정,통신 데이터,부산진구/(사)서면메디컬스트리트 의료관광협의회           ,01. 정부/지자체,부산광역시 부산진구 축제 육성 및 지원에 관한 조례,부산광역시 부산진구청,경제관광과,주무관,신혜숙,051-605-4521,
95,02. 부산,부산진구,비어로드 페스티벌,01. 문화예술,"서면, 전포 일원",05. 기타,02. 부산,부산진구,전포동,2026,7,,2026,7,,2,미정,01. 매년,2024,45,0,45,0,해당없음,"4,000","4,000",모름,01. 계측,티켓판매,부산광역시 부산진구,01. 정부/지자체,부산광역시 부산진구 축제 육성 및 지원에 관한 조례,부산광역시 부산진구청,경제관광과,주무관,이인정,051-605-4526,
96,02. 부산,동래구,제32회 동래읍성역사축제,04. 전통역사,"동래문화회관, 읍성광장, 명륜1번가, 온천천카페거리 등",02. 녹지형,02. 부산,동래구,-,2026,10,16,2026,10,18,3,,01. 매년,1995,"1,006",40,966,0,문화체육관광부,"192,381","192,381",모름,02. 추정,통신 데이터,동래문화원,02. 재단(관광/문화/예술),지방문화원진흥법,부산광역시 동래구청,문화관광과,주무관,문대혁,051-550-4092,
97,02. 부산,동래구,제4회 온천천 빛축제,01. 문화예술,동래구 온천천 일원,03. 수변형,02. 부산,동래구,-,2026,12,18,2027,1,31,45,,01. 매년,2023,350,0,350,0,해당없음,"341,728","341,728",모름,01. 계측,유인,부산광역시 동래구,01. 정부/지자체,,부산광역시 동래구청,하천관리과,주무관,최원영,051-550-6642,
98,02. 부산,동래구,동래 문화교육 특구페스티벌,01. 문화예술,"동래문화회관, 동래읍성광장 등",02. 녹지형,02. 부산,동래구,-,2026,6,12,2026,6,13,2,,01. 매년,2018,90,0,90,0,해당없음,"18,000","18,000",모름,01. 계측,유인,부산광역시 동래구,01. 정부/지자체,부산광역시동래구 문화교육특구 운영에 관한 조례,부산광역시 동래구청,평생교육과,주무관,강선희,051-550-4472,
99,02. 부산,남구,제28회 UN평화축제,01. 문화예술,평화공원 일원,02. 녹지형,02. 부산,남구,-,2026,10,,2026,10,,3,미정,01. 매년,1997,417,0,417,0,해당없음,"70,000","70,000",모름,02. 추정,통신 데이터,부산남구문화재단,02. 재단(관광/문화/예술),부산광역시 남구 문화재단 설립 및 운영에 관한 조례,부산광역시 남구청,문화관광과,주무관,한미경,051-607-5624,
100,02. 부산,남구,제4회 유엔남구 물놀이축제,01. 문화예술,용호별빛공원 일원,02. 녹지형,02. 부산,남구,-,2026,7,25,2026,8,3,10,,01. 매년,2023,297,0,297,0,해당없음,"24,462","24,462",모름,01. 계측,무인,부산광역시 남구,01. 정부/지자체,,부산광역시 남구청,문화관광과,주무관,김가영,051-607-5612,
101,02. 부산,북구,제13회 낙동강 구포나루 축제,01. 문화예술,화명생태공원 연꽃단지 일대,02. 녹지형,02. 부산,북구,-,2026,10,,2026,10,,3,미정,01. 매년,2011,500,0,500,0,해당없음,"230,000","230,000",모름,01. 계측,무인,부산 북구,01. 정부/지자체,문화예술진흥법 제7조,부산광역시  북구청,문화관광과,주무관,박상희,051-309-4522,
102,02. 부산,해운대구,제41회 해운대 달맞이온천축제,04. 전통역사,해운대해수욕장 일원 ,03. 수변형,02. 부산,해운대구,-,2026,3,1,2026,3,3,3,,01. 매년,1983,75,0,12,63,해당없음,"30,000","30,000",모름,99. 무응답,기타,부산광역시 해운대구,01. 정부/지자체,부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,부산광역시 해운대구청,문화관광과,주무관,이성형,051-749-4062,
103,02. 부산,해운대구,제21회 해운대모래축제,02. 자연생태,해운대해수욕장 일원 ,03. 수변형,02. 부산,해운대구,-,2026,5,8,2026,5,11,4,,01. 매년,2005,824,0,824,0,해당없음,"1,009,910","1,009,910",모름,02. 추정,통신 데이터,부산광역시 해운대구,01. 정부/지자체,부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,부산광역시 해운대구청,문화관광과,주무관,박진선,051-749-4064,
104,02. 부산,해운대구,제8회 해운대 해양레저축제,01. 문화예술,송정해수욕장 일원,03. 수변형,02. 부산,해운대구,-,2026,9,,2026,9,,2,미정,01. 매년,2017,40,0,40,0,해당없음,"2,000","2,000",모름,99. 무응답,기타,부산광역시 해운대구,01. 정부/지자체,지역특구법 제20조1항,부산광역시 해운대구청,해양진흥과,주무관,장현영,051-749-5062,
105,02. 부산,해운대구,제13회 해운대 빛축제,01. 문화예술,해운대해수욕장 일원 ,03. 수변형,02. 부산,해운대구,-,2026,12,,2026,2,,,미정,01. 매년,2014,미확정,0,미확정,0,해당없음,"3,694,744","3,694,744",모름,02. 추정,통신 데이터,부산광역시 해운대구,01. 정부/지자체,부산광역시 해운대구 축제의 육성 및 지원에 관한 조례,부산광역시 해운대구청,문화관광과,주무관,이성형,051-749-4062,
106,02. 부산,해운대구,제2회 세계문화축제,01. 문화예술,해운대구 구남로 ,05. 기타,02. 부산,해운대구,-,2026,10,24,2026,10,25,2,,01. 매년,2025,35,0,35,0,해당없음,"5,000",모름,모름,99. 무응답,기타,해운대구다문화가족지원센터,01. 정부/지자체,다문화가족지원법,부산광역시 해운대구청,홍보협력과,주무관,손민우,051-749-4331,
